Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size,Latitude,Longitude,Driving_Distance_m
1,3178 GRAVELEY STREET,5/8/2020,1500000,18,2447,1946,74,5674.0,49.2702,-123.0370093,6472.196776456996
2,1438 E 28TH AVENUE,1/22/2020,1300000,7,2146,1982,38,3631.98,49.24516130000001,-123.0749913,5827.3641780627595
3,2831 W 49TH AVENUE,6/18/2019,2650000,1,3108,1929,90,9111.0,49.2276034,-123.1683866,8778.890464801974
4,2645 TRIUMPH STREET,6/18/2019,1385000,28,2602,1922,97,4022.7,49.28406769999999,-123.0508676,4942.984031431563
5,741-743 E 10TH AVENUE,11/28/2019,1590000,17,1843,1970,49,4026.0,49.2617389,-123.0880999,3754.0715816169263
6,86 W 21ST AVENUE,3/3/2020,2565000,7,2439,1989,31,4026.0,49.251692,-123.106888,4039.3423479193184
7,2418 E 54TH AVENUE,8/12/2019,1303000,9,2100,1979,40,3298.48,49.21995889999999,-123.0575719,9189.303936242612
8,1787 E 57TH AVENUE,6/13/2019,1150000,10,1900,1950,69,6574.82,49.2184006,-123.0711074,9029.04477247742
9,2926 TRIMBLE STREET,8/16/2019,2500000,10,2133,2005,14,3360.0,49.2608353,-123.2058942,8165.349471799636
10,466 E 60TH AVENUE,10/17/2019,2400000,44,3989,2019,0,4412.0,49.2155419,-123.095323,8608.14647380437
11,150 W 42ND AVENUE,10/24/2019,2870000,22,3509,1995,24,5859.0,49.2320871,-123.109616,6126.064218223121
12,4010 INVERNESS STREET,9/23/2019,1355000,71,1902,1926,93,3196.85,49.2489179,-123.0797175,5068.159285660966
13,8233 FRENCH STREET,3/20/2019,1638000,168,2317,1988,31,3752.1,49.21127689999999,-123.1394375,8927.80677343253
14,2855 W 38TH AVENUE,5/25/2020,2880000,2,2286,1941,79,5808.0,49.2377922,-123.1691809,7758.355586023612
15,3238 E PENDER STREET,2/11/2020,1270000,1,3128,1910,110,5424.0,49.27993009999999,-123.0352062,6033.32101833558
16,4329 PERRY STREET,2/3/2020,1175000,25,1368,1948,72,3644.1,49.24633499999999,-123.0716395,5694.593610641892
17,2907 W 30TH AVENUE,10/30/2019,2725000,12,3222,1936,83,5676.75,49.245391,-123.1704745,6920.1707711717345
18,2095 E 28TH AVENUE,1/5/2020,1910000,37,3011,2020,0,3465.0,49.2459965,-123.0630875,6306.8825838180965
19,4030 PRINCE ALBERT STREET,1/6/2020,1181000,60,1929,1923,97,3484.8,49.24887409999999,-123.0874733,4839.791498234644
20,2241 E 4TH AVENUE,3/23/2020,2489000,4,3452,2001,19,4550.0,49.2669734,-123.0589944,5091.925680858625
21,6168 COMMERCIAL STREET,8/7/2019,1480000,31,2373,1992,27,3877.5,49.2281378,-123.068072,7969.511165057942
22,1431 RUPERT STREET,4/23/2019,1300000,108,2610,1971,48,4127.13,49.2719464,-123.0341298,6550.865758964033
23,6192 LARCH STREET,10/26/2019,2700000,65,2602,1925,95,6227.1,49.2300917,-123.1625348,7950.950450847226
