Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size,Latitude,Longitude
1,3178 GRAVELEY STREET,5/8/2020,1500000,18,2447,1946,74,5674.0,49.2702,-123.0370093
2,1438 E 28TH AVENUE,1/22/2020,1300000,7,2146,1982,38,3631.98,49.24516130000001,-123.0749913
3,2831 W 49TH AVENUE,6/18/2019,2650000,1,3108,1929,90,9111.0,49.2276034,-123.1683866
4,2645 TRIUMPH STREET,6/18/2019,1385000,28,2602,1922,97,4022.7,49.28406769999999,-123.0508676
5,741-743 E 10TH AVENUE,11/28/2019,1590000,17,1843,1970,49,4026.0,49.2617389,-123.0880999
6,86 W 21ST AVENUE,3/3/2020,2565000,7,2439,1989,31,4026.0,49.251692,-123.106888
7,2418 E 54TH AVENUE,8/12/2019,1303000,9,2100,1979,40,3298.48,49.21995889999999,-123.0575719
8,1787 E 57TH AVENUE,6/13/2019,1150000,10,1900,1950,69,6574.82,49.2184006,-123.0711074
9,2926 TRIMBLE STREET,8/16/2019,2500000,10,2133,2005,14,3360.0,49.2608353,-123.2058942
10,466 E 60TH AVENUE,10/17/2019,2400000,44,3989,2019,0,4412.0,49.2155419,-123.095323
11,150 W 42ND AVENUE,10/24/2019,2870000,22,3509,1995,24,5859.0,49.2320871,-123.109616
12,4010 INVERNESS STREET,9/23/2019,1355000,71,1902,1926,93,3196.85,49.2489179,-123.0797175
13,8233 FRENCH STREET,3/20/2019,1638000,168,2317,1988,31,3752.1,49.21127689999999,-123.1394375
14,2855 W 38TH AVENUE,5/25/2020,2880000,2,2286,1941,79,5808.0,49.2377922,-123.1691809
15,3238 E PENDER STREET,2/11/2020,1270000,1,3128,1910,110,5424.0,49.27993009999999,-123.0352062
16,4329 PERRY STREET,2/3/2020,1175000,25,1368,1948,72,3644.1,49.24633499999999,-123.0716395
17,2907 W 30TH AVENUE,10/30/2019,2725000,12,3222,1936,83,5676.75,49.245391,-123.1704745
18,2095 E 28TH AVENUE,1/5/2020,1910000,37,3011,2020,0,3465.0,49.2459965,-123.0630875
19,4030 PRINCE ALBERT STREET,1/6/2020,1181000,60,1929,1923,97,3484.8,49.24887409999999,-123.0874733
20,2241 E 4TH AVENUE,3/23/2020,2489000,4,3452,2001,19,4550.0,49.2669734,-123.0589944
21,6168 COMMERCIAL STREET,8/7/2019,1480000,31,2373,1992,27,3877.5,49.2281378,-123.068072
22,1431 RUPERT STREET,4/23/2019,1300000,108,2610,1971,48,4127.13,49.2719464,-123.0341298
23,6192 LARCH STREET,10/26/2019,2700000,65,2602,1925,95,6227.1,49.2300917,-123.1625348
24,235 E 62ND AVENUE,2/3/2020,1300000,22,1920,1968,52,3267.0,49.2145569,-123.1011695
25,342 E 23RD AVENUE,7/16/2019,2910000,7,3330,2019,0,4048.0,49.24999,-123.0976452
26,2277 BONNYVALE AVENUE,5/28/2019,1498000,16,2150,1953,66,5607.1,49.2173183,-123.0601164
27,5515 ARGYLE STREET,3/28/2019,2240000,143,3612,2019,0,4108.5,49.2345113,-123.0718444
28,3775 WINDSOR STREET,3/16/2020,2275000,5,3316,1925,95,4026.0,49.25124880000001,-123.084099
29,2783 E 27TH AVENUE,5/22/2019,1410000,22,3166,2019,0,3630.0,49.2464444,-123.0475929
30,495 E 60TH AVENUE,5/1/2020,1240000,4,1600,1949,71,4082.34,49.2159378,-123.0943902
31,2823 W 24TH AVENUE,2/19/2020,2823000,59,2819,2010,10,4026.0,49.251195,-123.1684595
32,2056 E 2ND AVENUE,6/17/2019,2175000,41,2729,1912,107,4026.0,49.2684607,-123.0625676
33,959 E 13TH AVENUE,8/16/2019,1498000,2,1799,1949,70,4026.0,49.2589958,-123.0840166
34,4925 SHERBROOKE STREET,6/7/2019,1200000,75,1762,1954,65,4312.0,49.2397186,-123.0815753
35,2614 E 18TH AVENUE,7/3/2019,2015000,24,3119,2018,1,3630.0,49.2538815,-123.0518474
36,1749 GRANT STREET,4/2/2020,1610000,7,2951,1940,80,4356.0,49.27149619999999,-123.0683574
37,1564 E 63RD AVENUE,11/18/2019,1570000,17,2560,1959,60,5580.0,49.2126708,-123.074739
38,1829 STEPHENS STREET,1/21/2020,1430000,86,1963,1911,109,2045.75,49.2696328,-123.1666705
39,8571 WILTSHIRE STREET,7/8/2019,2100000,2,2450,1956,63,6000.0,49.2089676,-123.146779
40,3191 W 38TH AVENUE,4/20/2020,2898000,7,2792,1924,96,6525.0,49.2378175,-123.1755886
41,4811 JOYCE STREET,11/28/2018,1400000,308,2000,1949,70,6187.5,49.2416168,-123.0290443
42,7482 GATINEAU PLACE,11/12/2019,1677000,21,3036,1962,57,6033.0,49.2160587,-123.0521502
43,2421 PANDORA STREET,2/4/2020,1700000,36,2500,1984,36,4026.0,49.28314959999999,-123.0560051
44,1576 W 16TH AVENUE,7/3/2019,2800000,136,3095,1946,73,8871.25,49.2568283,-123.1406497
45,5806 QUEBEC STREET,6/11/2019,1600000,8,1122,1946,73,4121.0,49.2324353,-123.103492
46,2342 E 28TH AVENUE,9/3/2019,1580000,3,2214,1914,105,4026.0,49.2455755,-123.0579536
47,7248 KNIGHT STREET,6/14/2019,967000,2,1958,1949,70,4026.0,49.2186327,-123.0766399
48,8577 CORNISH STREET,10/31/2019,2300000,2,3094,1996,23,5163.0,49.2088431,-123.1425032
49,325 E 57TH AVENUE,7/16/2019,1650000,69,2362,2013,6,3388.0,49.2186427,-123.0993312
50,1017 E 13TH AVENUE,1/7/2020,1605000,6,2381,1912,108,4026.0,49.258956,-123.08295
51,1322 E 54TH AVENUE,4/3/2020,1175000,25,2256,1963,57,3874.0,49.220256,-123.0796401
52,6526 DAWSON STREET,4/14/2020,2630000,20,4704,2013,7,5640.0,49.2241945,-123.0484825
53,4244 VICTORIA DRIVE,3/24/2020,1300000,6,2167,1926,94,4895.0,49.24729139999999,-123.0648559
54,1312 W 59TH AVENUE,7/25/2019,2320000,20,3189,1988,31,5280.0,49.217053,-123.1345216
55,8473 ISABEL PLACE,10/9/2019,2390000,2,3320,2009,10,5827.0,49.2095502,-123.151049
