Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size,Latitude,Longitude,Driving_Distance_m,Proximity_Score
983,416-418 UNION STREET,9/9/2019,1600000,32,2301,1980,39,3150.0,49.2774023,-123.0950791,1660.5723037460195,100.0
962,521 UNION STREET,7/5/2019,1380000,56,2538,1901,118,3058.0,49.27769259999999,-123.0930006,1801.4349310701118,98.50688434931219
493,993 BROUGHTON STREET,4/3/2019,2600000,192,4026,1905,114,2882.0,49.2860495,-123.133226,1833.572940863873,98.16622787912851
1108,518 KEEFER STREET,1/3/2020,1189000,47,3189,1910,110,3050.0,49.2791693,-123.0930471,1838.9573398488776,98.10915432777722
1007,601 E PENDER STREET,1/11/2020,1670000,123,4100,1908,112,4150.0,49.2804294,-123.0913546,1891.673695172737,97.55037151450358
501,643 E CORDOVA STREET,1/29/2020,1233000,21,2272,1901,119,3172.0,49.2823158,-123.090425,2077.291595160093,95.5828589330346
929,640 E GEORGIA STREET,5/27/2019,1860000,100,3335,1895,124,3050.0,49.2782353,-123.0905799,2184.4277112165114,94.44723755015568
924,703 HEATLEY AVENUE,7/25/2019,738000,196,1153,1901,119,1525.0,49.278251,-123.08991,2184.4277112165114,94.44723755015568
570,703 HEATLEY AVENUE,5/11/2020,750000,10,1153,1901,119,1525.0,49.278251,-123.08991,2184.4277112165114,94.44723755015568
699,763 UNION STREET,8/19/2019,1625000,7,1822,1905,114,3050.0,49.27771,-123.08827,2225.098618413118,94.01613407568186
288,837 KEEFER STREET,7/15/2019,2051000,8,2915,1901,118,3050.0,49.2794359,-123.0863191,2297.3849227719024,93.24991372029862
1180,842 KEEFER STREET,8/27/2019,2100000,6,2727,1910,109,3050.0,49.2790243,-123.0862359,2347.189962132895,92.72199027342208
487,644 HAWKS AVENUE,11/12/2019,2040000,13,2506,1905,114,6100.0,49.2785411,-123.0870863,2347.189962132895,92.72199027342208
155,757 PRIOR STREET,3/13/2020,1848000,55,3059,1905,115,3302.5,49.276733,-123.0884242,2450.238854797081,91.62969264028948
1097,720 HAWKS AVENUE,10/15/2019,1265000,47,2394,1905,114,2684.0,49.2779605,-123.0870925,2605.200775016527,89.98712730741413
943,437 VERNON DRIVE,4/22/2020,1510000,18,1892,2017,3,1843.36,49.2802613,-123.0794703,2947.3393159156535,86.3605272657677
1263,575 W 17TH AVENUE,5/21/2019,1820000,55,2392,1927,92,4023.36,49.2562681,-123.1170544,3087.5684076937932,84.87412696504103
656,233 W 15TH AVENUE,5/15/2019,2325000,33,5600,1910,109,6250.0,49.25795859999999,-123.1105346,3098.3038693084222,84.76033322103197
868,1404 PARKER STREET,5/23/2019,1350000,43,2324,2005,14,2542.0,49.27564040000001,-123.075705,3106.5203201906443,84.67324048651179
1194,555 E 7TH AVENUE,1/20/2020,1660000,1,2322,1905,115,4026.0,49.2644984,-123.0916916,3162.8772953137272,84.0758678321732
