neighbourhood,crime_type,year,count
Arbutus Ridge,Break and Enter Commercial,2003,34
Arbutus Ridge,Break and Enter Commercial,2004,31
Arbutus Ridge,Break and Enter Commercial,2005,29
Arbutus Ridge,Break and Enter Commercial,2006,26
Arbutus Ridge,Break and Enter Commercial,2007,32
Arbutus Ridge,Break and Enter Commercial,2008,21
Arbutus Ridge,Break and Enter Commercial,2009,24
Arbutus Ridge,Break and Enter Commercial,2010,17
Arbutus Ridge,Break and Enter Commercial,2011,10
Arbutus Ridge,Break and Enter Commercial,2012,14
Arbutus Ridge,Break and Enter Commercial,2013,9
Arbutus Ridge,Break and Enter Commercial,2014,28
Arbutus Ridge,Break and Enter Commercial,2015,12
Arbutus Ridge,Break and Enter Commercial,2016,32
Arbutus Ridge,Break and Enter Commercial,2017,11
Arbutus Ridge,Break and Enter Commercial,2018,12
Arbutus Ridge,Break and Enter Commercial,2019,10
Arbutus Ridge,Break and Enter Commercial,2020,18
Arbutus Ridge,Break and Enter Commercial,2021,15
Arbutus Ridge,Break and Enter Commercial,2022,24
Arbutus Ridge,Break and Enter Commercial,2023,12
Arbutus Ridge,Break and Enter Commercial,2024,5
Arbutus Ridge,Break and Enter Commercial,2025,5
Arbutus Ridge,Break and Enter Residential/Other,2003,141
Arbutus Ridge,Break and Enter Residential/Other,2004,144
Arbutus Ridge,Break and Enter Residential/Other,2005,121
Arbutus Ridge,Break and Enter Residential/Other,2006,133
Arbutus Ridge,Break and Enter Residential/Other,2007,104
Arbutus Ridge,Break and Enter Residential/Other,2008,119
Arbutus Ridge,Break and Enter Residential/Other,2009,125
Arbutus Ridge,Break and Enter Residential/Other,2010,122
Arbutus Ridge,Break and Enter Residential/Other,2011,108
Arbutus Ridge,Break and Enter Residential/Other,2012,107
Arbutus Ridge,Break and Enter Residential/Other,2013,89
Arbutus Ridge,Break and Enter Residential/Other,2014,129
Arbutus Ridge,Break and Enter Residential/Other,2015,103
Arbutus Ridge,Break and Enter Residential/Other,2016,83
Arbutus Ridge,Break and Enter Residential/Other,2017,84
Arbutus Ridge,Break and Enter Residential/Other,2018,78
Arbutus Ridge,Break and Enter Residential/Other,2019,70
Arbutus Ridge,Break and Enter Residential/Other,2020,88
Arbutus Ridge,Break and Enter Residential/Other,2021,34
Arbutus Ridge,Break and Enter Residential/Other,2022,30
Arbutus Ridge,Break and Enter Residential/Other,2023,34
Arbutus Ridge,Break and Enter Residential/Other,2024,13
Arbutus Ridge,Break and Enter Residential/Other,2025,8
Arbutus Ridge,Homicide,2003,1
Arbutus Ridge,Homicide,2014,1
Arbutus Ridge,Mischief,2003,95
Arbutus Ridge,Mischief,2004,114
Arbutus Ridge,Mischief,2005,107
Arbutus Ridge,Mischief,2006,90
Arbutus Ridge,Mischief,2007,70
Arbutus Ridge,Mischief,2008,58
Arbutus Ridge,Mischief,2009,58
Arbutus Ridge,Mischief,2010,46
Arbutus Ridge,Mischief,2011,44
Arbutus Ridge,Mischief,2012,34
Arbutus Ridge,Mischief,2013,57
Arbutus Ridge,Mischief,2014,35
Arbutus Ridge,Mischief,2015,38
Arbutus Ridge,Mischief,2016,47
Arbutus Ridge,Mischief,2017,64
Arbutus Ridge,Mischief,2018,49
Arbutus Ridge,Mischief,2019,38
Arbutus Ridge,Mischief,2020,51
Arbutus Ridge,Mischief,2021,41
Arbutus Ridge,Mischief,2022,54
Arbutus Ridge,Mischief,2023,50
Arbutus Ridge,Mischief,2024,40
Arbutus Ridge,Mischief,2025,22
Arbutus Ridge,Offence Against a Person,2003,28
Arbutus Ridge,Offence Against a Person,2004,16
Arbutus Ridge,Offence Against a Person,2005,23
Arbutus Ridge,Offence Against a Person,2006,29
Arbutus Ridge,Offence Against a Person,2007,25
Arbutus Ridge,Offence Against a Person,2008,26
Arbutus Ridge,Offence Against a Person,2009,18
Arbutus Ridge,Offence Against a Person,2010,22
Arbutus Ridge,Offence Against a Person,2011,11
Arbutus Ridge,Offence Against a Person,2012,15
Arbutus Ridge,Offence Against a Person,2013,16
Arbutus Ridge,Offence Against a Person,2014,14
Arbutus Ridge,Offence Against a Person,2015,15
Arbutus Ridge,Offence Against a Person,2016,13
Arbutus Ridge,Offence Against a Person,2017,7
Arbutus Ridge,Offence Against a Person,2018,11
Arbutus Ridge,Offence Against a Person,2019,18
Arbutus Ridge,Offence Against a Person,2020,15
Arbutus Ridge,Offence Against a Person,2021,11
Arbutus Ridge,Offence Against a Person,2022,22
Arbutus Ridge,Offence Against a Person,2023,9
Arbutus Ridge,Offence Against a Person,2024,15
Arbutus Ridge,Offence Against a Person,2025,6
Arbutus Ridge,Other Theft,2003,136
Arbutus Ridge,Other Theft,2004,102
Arbutus Ridge,Other Theft,2005,81
Arbutus Ridge,Other Theft,2006,96
Arbutus Ridge,Other Theft,2007,80
Arbutus Ridge,Other Theft,2008,87
Arbutus Ridge,Other Theft,2009,95
Arbutus Ridge,Other Theft,2010,77
Arbutus Ridge,Other Theft,2011,58
Arbutus Ridge,Other Theft,2012,69
Arbutus Ridge,Other Theft,2013,61
Arbutus Ridge,Other Theft,2014,61
Arbutus Ridge,Other Theft,2015,86
Arbutus Ridge,Other Theft,2016,102
Arbutus Ridge,Other Theft,2017,62
Arbutus Ridge,Other Theft,2018,60
Arbutus Ridge,Other Theft,2019,76
Arbutus Ridge,Other Theft,2020,45
Arbutus Ridge,Other Theft,2021,68
Arbutus Ridge,Other Theft,2022,92
Arbutus Ridge,Other Theft,2023,66
Arbutus Ridge,Other Theft,2024,100
Arbutus Ridge,Other Theft,2025,39
Arbutus Ridge,Theft from Vehicle,2003,177
Arbutus Ridge,Theft from Vehicle,2004,207
Arbutus Ridge,Theft from Vehicle,2005,233
Arbutus Ridge,Theft from Vehicle,2006,111
Arbutus Ridge,Theft from Vehicle,2007,79
Arbutus Ridge,Theft from Vehicle,2008,67
Arbutus Ridge,Theft from Vehicle,2009,83
Arbutus Ridge,Theft from Vehicle,2010,71
Arbutus Ridge,Theft from Vehicle,2011,94
Arbutus Ridge,Theft from Vehicle,2012,130
Arbutus Ridge,Theft from Vehicle,2013,100
Arbutus Ridge,Theft from Vehicle,2014,140
Arbutus Ridge,Theft from Vehicle,2015,128
Arbutus Ridge,Theft from Vehicle,2016,156
Arbutus Ridge,Theft from Vehicle,2017,141
Arbutus Ridge,Theft from Vehicle,2018,111
Arbutus Ridge,Theft from Vehicle,2019,101
Arbutus Ridge,Theft from Vehicle,2020,109
Arbutus Ridge,Theft from Vehicle,2021,78
Arbutus Ridge,Theft from Vehicle,2022,71
Arbutus Ridge,Theft from Vehicle,2023,71
Arbutus Ridge,Theft from Vehicle,2024,71
Arbutus Ridge,Theft from Vehicle,2025,17
Arbutus Ridge,Theft of Bicycle,2003,10
Arbutus Ridge,Theft of Bicycle,2004,10
Arbutus Ridge,Theft of Bicycle,2005,7
Arbutus Ridge,Theft of Bicycle,2006,9
Arbutus Ridge,Theft of Bicycle,2007,8
Arbutus Ridge,Theft of Bicycle,2008,7
Arbutus Ridge,Theft of Bicycle,2009,5
Arbutus Ridge,Theft of Bicycle,2010,9
Arbutus Ridge,Theft of Bicycle,2011,7
Arbutus Ridge,Theft of Bicycle,2012,9
Arbutus Ridge,Theft of Bicycle,2013,11
Arbutus Ridge,Theft of Bicycle,2014,17
Arbutus Ridge,Theft of Bicycle,2015,19
Arbutus Ridge,Theft of Bicycle,2016,23
Arbutus Ridge,Theft of Bicycle,2017,24
Arbutus Ridge,Theft of Bicycle,2018,12
Arbutus Ridge,Theft of Bicycle,2019,24
Arbutus Ridge,Theft of Bicycle,2020,18
Arbutus Ridge,Theft of Bicycle,2021,15
Arbutus Ridge,Theft of Bicycle,2022,24
Arbutus Ridge,Theft of Bicycle,2023,7
Arbutus Ridge,Theft of Bicycle,2024,5
Arbutus Ridge,Theft of Bicycle,2025,2
Arbutus Ridge,Theft of Vehicle,2003,91
Arbutus Ridge,Theft of Vehicle,2004,109
Arbutus Ridge,Theft of Vehicle,2005,76
Arbutus Ridge,Theft of Vehicle,2006,37
Arbutus Ridge,Theft of Vehicle,2007,39
Arbutus Ridge,Theft of Vehicle,2008,26
Arbutus Ridge,Theft of Vehicle,2009,26
Arbutus Ridge,Theft of Vehicle,2010,17
Arbutus Ridge,Theft of Vehicle,2011,9
Arbutus Ridge,Theft of Vehicle,2012,13
Arbutus Ridge,Theft of Vehicle,2013,5
Arbutus Ridge,Theft of Vehicle,2014,14
Arbutus Ridge,Theft of Vehicle,2015,15
Arbutus Ridge,Theft of Vehicle,2016,10
Arbutus Ridge,Theft of Vehicle,2017,14
Arbutus Ridge,Theft of Vehicle,2018,12
Arbutus Ridge,Theft of Vehicle,2019,13
Arbutus Ridge,Theft of Vehicle,2020,9
Arbutus Ridge,Theft of Vehicle,2021,5
Arbutus Ridge,Theft of Vehicle,2022,16
Arbutus Ridge,Theft of Vehicle,2023,7
Arbutus Ridge,Theft of Vehicle,2024,10
Arbutus Ridge,Theft of Vehicle,2025,3
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Fatality),2004,1
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Fatality),2008,1
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Fatality),2009,2
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Fatality),2018,1
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Fatality),2021,2
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Fatality),2023,1
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Fatality),2024,1
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2003,9
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2004,2
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2005,5
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2006,3
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2007,2
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2008,4
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2009,2
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2010,1
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2011,2
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2012,4
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2013,2
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2014,28
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2015,20
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2016,28
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2017,25
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2018,18
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2019,14
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2020,14
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2021,18
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2022,13
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2023,10
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2024,15
Arbutus Ridge,Vehicle Collision or Pedestrian Struck (with Injury),2025,6
Downtown,Break and Enter Commercial,2003,780
Downtown,Break and Enter Commercial,2004,866
Downtown,Break and Enter Commercial,2005,637
Downtown,Break and Enter Commercial,2006,707
Downtown,Break and Enter Commercial,2007,782
Downtown,Break and Enter Commercial,2008,683
Downtown,Break and Enter Commercial,2009,534
Downtown,Break and Enter Commercial,2010,479
Downtown,Break and Enter Commercial,2011,586
Downtown,Break and Enter Commercial,2012,411
Downtown,Break and Enter Commercial,2013,457
Downtown,Break and Enter Commercial,2014,570
Downtown,Break and Enter Commercial,2015,797
Downtown,Break and Enter Commercial,2016,798
Downtown,Break and Enter Commercial,2017,602
Downtown,Break and Enter Commercial,2018,549
Downtown,Break and Enter Commercial,2019,669
Downtown,Break and Enter Commercial,2020,840
Downtown,Break and Enter Commercial,2021,653
Downtown,Break and Enter Commercial,2022,614
Downtown,Break and Enter Commercial,2023,525
Downtown,Break and Enter Commercial,2024,372
Downtown,Break and Enter Commercial,2025,146
Downtown,Break and Enter Residential/Other,2003,393
Downtown,Break and Enter Residential/Other,2004,349
Downtown,Break and Enter Residential/Other,2005,268
Downtown,Break and Enter Residential/Other,2006,414
Downtown,Break and Enter Residential/Other,2007,322
Downtown,Break and Enter Residential/Other,2008,342
Downtown,Break and Enter Residential/Other,2009,215
Downtown,Break and Enter Residential/Other,2010,170
Downtown,Break and Enter Residential/Other,2011,144
Downtown,Break and Enter Residential/Other,2012,159
Downtown,Break and Enter Residential/Other,2013,178
Downtown,Break and Enter Residential/Other,2014,188
Downtown,Break and Enter Residential/Other,2015,137
Downtown,Break and Enter Residential/Other,2016,145
Downtown,Break and Enter Residential/Other,2017,144
Downtown,Break and Enter Residential/Other,2018,124
Downtown,Break and Enter Residential/Other,2019,149
Downtown,Break and Enter Residential/Other,2020,144
Downtown,Break and Enter Residential/Other,2021,117
Downtown,Break and Enter Residential/Other,2022,105
Downtown,Break and Enter Residential/Other,2023,126
Downtown,Break and Enter Residential/Other,2024,115
Downtown,Break and Enter Residential/Other,2025,64
Downtown,Homicide,2003,2
Downtown,Homicide,2004,5
Downtown,Homicide,2005,5
Downtown,Homicide,2006,5
Downtown,Homicide,2007,6
Downtown,Homicide,2008,4
Downtown,Homicide,2009,4
Downtown,Homicide,2010,1
Downtown,Homicide,2011,4
Downtown,Homicide,2012,1
Downtown,Homicide,2013,1
Downtown,Homicide,2014,2
Downtown,Homicide,2015,6
Downtown,Homicide,2016,3
Downtown,Homicide,2017,3
Downtown,Homicide,2018,5
Downtown,Homicide,2019,4
Downtown,Homicide,2020,3
Downtown,Homicide,2021,7
Downtown,Homicide,2022,3
Downtown,Homicide,2023,5
Downtown,Homicide,2024,4
Downtown,Homicide,2025,2
Downtown,Mischief,2003,1287
Downtown,Mischief,2004,1097
Downtown,Mischief,2005,920
Downtown,Mischief,2006,1078
Downtown,Mischief,2007,1074
Downtown,Mischief,2008,1195
Downtown,Mischief,2009,955
Downtown,Mischief,2010,1082
Downtown,Mischief,2011,1375
Downtown,Mischief,2012,993
Downtown,Mischief,2013,996
Downtown,Mischief,2014,1289
Downtown,Mischief,2015,1218
Downtown,Mischief,2016,1384
Downtown,Mischief,2017,1576
Downtown,Mischief,2018,1808
Downtown,Mischief,2019,1866
Downtown,Mischief,2020,1934
Downtown,Mischief,2021,1845
Downtown,Mischief,2022,2185
Downtown,Mischief,2023,2768
Downtown,Mischief,2024,2190
Downtown,Mischief,2025,1023
Downtown,Offence Against a Person,2003,789
Downtown,Offence Against a Person,2004,827
Downtown,Offence Against a Person,2005,887
Downtown,Offence Against a Person,2006,1064
Downtown,Offence Against a Person,2007,1144
Downtown,Offence Against a Person,2008,1177
Downtown,Offence Against a Person,2009,1118
Downtown,Offence Against a Person,2010,1049
Downtown,Offence Against a Person,2011,1168
Downtown,Offence Against a Person,2012,1152
Downtown,Offence Against a Person,2013,1101
Downtown,Offence Against a Person,2014,937
Downtown,Offence Against a Person,2015,994
Downtown,Offence Against a Person,2016,1041
Downtown,Offence Against a Person,2017,1005
Downtown,Offence Against a Person,2018,1018
Downtown,Offence Against a Person,2019,1266
Downtown,Offence Against a Person,2020,1275
Downtown,Offence Against a Person,2021,1286
Downtown,Offence Against a Person,2022,1384
Downtown,Offence Against a Person,2023,1424
Downtown,Offence Against a Person,2024,1399
Downtown,Offence Against a Person,2025,489
Downtown,Other Theft,2003,3238
Downtown,Other Theft,2004,3567
Downtown,Other Theft,2005,3706
Downtown,Other Theft,2006,3369
Downtown,Other Theft,2007,3335
Downtown,Other Theft,2008,3233
Downtown,Other Theft,2009,3292
Downtown,Other Theft,2010,3516
Downtown,Other Theft,2011,3403
Downtown,Other Theft,2012,3528
Downtown,Other Theft,2013,3885
Downtown,Other Theft,2014,3937
Downtown,Other Theft,2015,3834
Downtown,Other Theft,2016,4469
Downtown,Other Theft,2017,4785
Downtown,Other Theft,2018,4490
Downtown,Other Theft,2019,4693
Downtown,Other Theft,2020,2600
Downtown,Other Theft,2021,2745
Downtown,Other Theft,2022,3359
Downtown,Other Theft,2023,4291
Downtown,Other Theft,2024,5098
Downtown,Other Theft,2025,2388
Downtown,Theft from Vehicle,2003,5340
Downtown,Theft from Vehicle,2004,4418
Downtown,Theft from Vehicle,2005,3780
Downtown,Theft from Vehicle,2006,4083
Downtown,Theft from Vehicle,2007,3870
Downtown,Theft from Vehicle,2008,3831
Downtown,Theft from Vehicle,2009,2993
Downtown,Theft from Vehicle,2010,2052
Downtown,Theft from Vehicle,2011,1680
Downtown,Theft from Vehicle,2012,1734
Downtown,Theft from Vehicle,2013,2139
Downtown,Theft from Vehicle,2014,2626
Downtown,Theft from Vehicle,2015,2968
Downtown,Theft from Vehicle,2016,4386
Downtown,Theft from Vehicle,2017,4314
Downtown,Theft from Vehicle,2018,5297
Downtown,Theft from Vehicle,2019,6362
Downtown,Theft from Vehicle,2020,2982
Downtown,Theft from Vehicle,2021,1950
Downtown,Theft from Vehicle,2022,2315
Downtown,Theft from Vehicle,2023,2541
Downtown,Theft from Vehicle,2024,2187
Downtown,Theft from Vehicle,2025,993
Downtown,Theft of Bicycle,2003,287
Downtown,Theft of Bicycle,2004,298
Downtown,Theft of Bicycle,2005,365
Downtown,Theft of Bicycle,2006,398
Downtown,Theft of Bicycle,2007,295
Downtown,Theft of Bicycle,2008,338
Downtown,Theft of Bicycle,2009,501
Downtown,Theft of Bicycle,2010,459
Downtown,Theft of Bicycle,2011,385
Downtown,Theft of Bicycle,2012,531
Downtown,Theft of Bicycle,2013,520
Downtown,Theft of Bicycle,2014,664
Downtown,Theft of Bicycle,2015,947
Downtown,Theft of Bicycle,2016,686
Downtown,Theft of Bicycle,2017,618
Downtown,Theft of Bicycle,2018,638
Downtown,Theft of Bicycle,2019,574
Downtown,Theft of Bicycle,2020,374
Downtown,Theft of Bicycle,2021,292
Downtown,Theft of Bicycle,2022,403
Downtown,Theft of Bicycle,2023,242
Downtown,Theft of Bicycle,2024,260
Downtown,Theft of Bicycle,2025,118
Downtown,Theft of Vehicle,2003,696
Downtown,Theft of Vehicle,2004,484
Downtown,Theft of Vehicle,2005,439
Downtown,Theft of Vehicle,2006,433
Downtown,Theft of Vehicle,2007,451
Downtown,Theft of Vehicle,2008,432
Downtown,Theft of Vehicle,2009,193
Downtown,Theft of Vehicle,2010,108
Downtown,Theft of Vehicle,2011,103
Downtown,Theft of Vehicle,2012,92
Downtown,Theft of Vehicle,2013,111
Downtown,Theft of Vehicle,2014,94
Downtown,Theft of Vehicle,2015,132
Downtown,Theft of Vehicle,2016,187
Downtown,Theft of Vehicle,2017,127
Downtown,Theft of Vehicle,2018,163
Downtown,Theft of Vehicle,2019,181
Downtown,Theft of Vehicle,2020,83
Downtown,Theft of Vehicle,2021,105
Downtown,Theft of Vehicle,2022,86
Downtown,Theft of Vehicle,2023,108
Downtown,Theft of Vehicle,2024,82
Downtown,Theft of Vehicle,2025,32
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2003,3
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2004,3
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2005,7
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2006,7
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2007,4
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2008,3
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2009,2
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2011,1
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2012,5
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2013,3
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2014,3
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2015,1
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2016,4
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2017,4
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2019,2
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2020,2
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2021,2
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2022,3
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2023,1
Downtown,Vehicle Collision or Pedestrian Struck (with Fatality),2024,2
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2003,31
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2004,21
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2005,23
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2006,31
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2007,17
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2008,19
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2009,21
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2010,22
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2011,36
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2012,38
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2013,42
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2014,206
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2015,235
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2016,260
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2017,238
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2018,227
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2019,201
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2020,138
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2021,146
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2022,164
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2023,212
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2024,185
Downtown,Vehicle Collision or Pedestrian Struck (with Injury),2025,103
Dunbar-Southlands,Break and Enter Commercial,2003,47
Dunbar-Southlands,Break and Enter Commercial,2004,27
Dunbar-Southlands,Break and Enter Commercial,2005,22
Dunbar-Southlands,Break and Enter Commercial,2006,30
Dunbar-Southlands,Break and Enter Commercial,2007,24
Dunbar-Southlands,Break and Enter Commercial,2008,23
Dunbar-Southlands,Break and Enter Commercial,2009,14
Dunbar-Southlands,Break and Enter Commercial,2010,12
Dunbar-Southlands,Break and Enter Commercial,2011,12
Dunbar-Southlands,Break and Enter Commercial,2012,17
Dunbar-Southlands,Break and Enter Commercial,2013,17
Dunbar-Southlands,Break and Enter Commercial,2014,15
Dunbar-Southlands,Break and Enter Commercial,2015,13
Dunbar-Southlands,Break and Enter Commercial,2016,15
Dunbar-Southlands,Break and Enter Commercial,2017,10
Dunbar-Southlands,Break and Enter Commercial,2018,8
Dunbar-Southlands,Break and Enter Commercial,2019,15
