neighbourhood,year,population
Arbutus Ridge,2001,14515
Downtown,2001,27990
Dunbar-Southlands,2001,21310
Fairview,2001,28405
Grandview-Woodland,2001,29085
Hastings-Sunrise,2001,33045
Kensington-Cedar Cottage,2001,44560
Kerrisdale,2001,14035
Killarney,2001,25785
Kitsilano,2001,39620
Marpole,2001,22415
Mount Pleasant,2001,24535
Oakridge,2001,11795
Renfrew-Collingwood,2001,44950
Riley Park,2001,21990
Shaughnessy,2001,9020
South Cambie,2001,6995
Strathcona,2001,11575
Sunset,2001,33425
Victoria-Fraserview,2001,27150
West End,2001,42120
West Point Grey,2001,12680
Arbutus Ridge,2006,16145
Downtown,2006,43415
Dunbar-Southlands,2006,21480
Fairview,2006,29295
Grandview-Woodland,2006,28205
Hastings-Sunrise,2006,33130
Kensington-Cedar Cottage,2006,44665
Kerrisdale,2006,14615
Killarney,2006,27180
Kitsilano,2006,40595
Marpole,2006,23785
Mount Pleasant,2006,23615
Oakridge,2006,12725
Renfrew-Collingwood,2006,48885
Riley Park,2006,21815
Shaughnessy,2006,8900
South Cambie,2006,7070
Strathcona,2006,11920
Sunset,2006,35230
Victoria-Fraserview,2006,29200
West End,2006,44560
West Point Grey,2006,12990
Arbutus Ridge,2011,15910
Downtown,2011,54690
Dunbar-Southlands,2011,21745
Fairview,2011,31445
Grandview-Woodland,2011,27305
Hastings-Sunrise,2011,33990
Kensington-Cedar Cottage,2011,47470
Kerrisdale,2011,14735
Killarney,2011,28450
Kitsilano,2011,41375
Marpole,2011,23835
Mount Pleasant,2011,26400
Oakridge,2011,12440
Renfrew-Collingwood,2011,50505
Riley Park,2011,21795
Shaughnessy,2011,8805
South Cambie,2011,7675
Strathcona,2011,12165
Sunset,2011,36285
Victoria-Fraserview,2011,30710
West End,2011,44540
West Point Grey,2011,12795
Arbutus Ridge,2016,15295
Downtown,2016,62030
Dunbar-Southlands,2016,21425
Fairview,2016,33620
Grandview-Woodland,2016,29175
Hastings-Sunrise,2016,34575
Kensington-Cedar Cottage,2016,49325
Kerrisdale,2016,13975
Killarney,2016,29325
Kitsilano,2016,43045
Marpole,2016,24460
Mount Pleasant,2016,32955
Oakridge,2016,13030
Renfrew-Collingwood,2016,51530
Riley Park,2016,22555
Shaughnessy,2016,8430
South Cambie,2016,7970
Strathcona,2016,12585
Sunset,2016,36500
Victoria-Fraserview,2016,31065
West End,2016,47200
West Point Grey,2016,13065
